City,Year Ranfe,Total Reported Violent Crimes,Total Reported Property Crimes,Total Crimes
Apex,2011 - 2021,379,6054,6433
Cary,2011 - 2021,1262,19726,20988
Fuquay Varina,2011 - 2021,440,4430,4870
Garner   ,2011 - 2021,837,11988,12825
Holly Springs,2011 - 2021,251,3403,3654
Morrisville,2011 - 2021,186,4596,4782
Knightdale ,2011 - 2021,296,4039,4335
Raleigh,2011 - 2021,11561,74484,86045
Rolesville,2011 - 2021,54,967,1021
Wake Forest,2011 - 2021,549,7434,7983
Wendell,2011 - 2021,114,1179,1293
Zebulon,2011 - 2021,340,3075,3415
